Simulation ID,Rules,Order ID,Task1_Name,Task1_Start,Task1_End,Task1_Duration,Task2_Name,Task2_Start,Task2_End,Task2_Duration,Task3_Name,Task3_Start,Task3_End,Task3_Duration,Task4_Name,Task4_Start,Task4_End,Task4_Duration,Task5_Name,Task5_Start,Task5_End,Task5_Duration,Priority,Plan Name,Depth,Arrival Time,Due Date,Finish Time,Throughput Time,Total Process Time
Simulation1,FCFS + FCFS,O-32,T1,35.01,37.01,2.0,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,26.93,70.59,37.01,10.08,2.0
Simulation1,FCFS + FCFS,O-33,T4,29.12,33.4,4.279999999999998,T1,34.27,34.8,0.529999999999994,T3,44.75,50.32,5.57,T2,55.67,57.91,2.239999999999995,T5,59.87,62.22,2.3500000000000014,2,SampleProcessPlan2,4,29.12,77.11,62.22,33.1,14.97
Simulation1,FCFS + FCFS,O-34,T4,29.83,34.02,4.190000000000005,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,29.83,78.55,34.02,4.19,4.19
Simulation1,FCFS + FCFS,O-35,T1,37.63,38.44,0.8099999999999952,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,30.73,77.85,38.44,7.71,0.81
Simulation1,FCFS + FCFS,O-36,T1,38.44,44.03,5.590000000000003,T3,53.33,54.79,1.4600000000000009,T2,63.28,66.02,2.739999999999995,T4,69.26,73.51,4.25,T5,73.51,78.5,4.989999999999995,2,SampleProcessPlan1,4,30.88,80.58,78.5,47.62,19.03
Simulation1,FCFS + FCFS,O-37,T1,40.02,40.6,0.5799999999999983,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,31.33,71.37,40.6,9.27,0.58
Simulation1,FCFS + FCFS,O-38,T1,40.6,45.66,5.059999999999995,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,31.42,74.65,45.66,14.25,5.06
Simulation1,FCFS + FCFS,O-39,T4,31.81,36.42,4.610000000000003,T1,37.01,40.02,3.010000000000005,T3,41.05,44.75,3.700000000000003,T2,42.85,52.38,9.530000000000001,,,,,1,SampleProcessPlan2,3,31.81,79.0,52.38,20.57,20.85
Simulation1,FCFS + FCFS,O-4,T4,2.94,7.16,4.220000000000001,T1,8.09,9.12,1.0299999999999994,,,,,,,,,,,,,0,SampleProcessPlan2,2,2.94,51.76,9.12,6.18,5.25
Simulation1,FCFS + FCFS,O-40,T1,48.13,51.32,3.1899999999999977,T3,57.27,59.87,2.5999999999999943,T2,70.98,76.79,5.810000000000002,,,,,,,,,2,SampleProcessPlan1,2,32.39,80.6,76.79,44.4,11.6
Simulation1,FCFS + FCFS,O-41,T1,56.89,59.89,3.0,T3,62.02,63.78,1.759999999999998,T2,84.08,88.01,3.930000000000007,T4,88.01,91.8,3.789999999999992,,,,,2,SampleProcessPlan1,3,32.43,81.68,91.8,59.37,12.48
Simulation1,FCFS + FCFS,O-42,T4,33.4,37.15,3.75,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,32.87,78.51,37.15,4.28,3.75
Simulation1,FCFS + FCFS,O-43,T1,36.71,37.63,0.9200000000000017,T2,38.3,48.66,10.36,T3,39.81,41.05,1.2399999999999949,,,,,,,,,0,SampleProcessPlan1,2,35.33,82.84,48.66,13.34,12.52
Simulation1,FCFS + FCFS,O-44,T4,36.58,40.44,3.8599999999999994,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,36.58,81.06,40.44,3.86,3.86
Simulation1,FCFS + FCFS,O-45,T1,60.87,65.95,5.080000000000005,T3,65.95,68.42,2.469999999999999,T2,88.01,89.92,1.9099999999999966,T4,89.92,93.24,3.319999999999993,T5,93.24,96.96,3.719999999999999,2,SampleProcessPlan1,4,37.61,82.62,96.96,59.36,16.5
Simulation1,FCFS + FCFS,O-46,T1,64.3,66.28,1.980000000000004,T3,68.42,70.19,1.769999999999996,T2,89.92,94.38,4.459999999999994,,,,,,,,,2,SampleProcessPlan1,2,37.66,77.78,94.38,56.72,8.21
Simulation1,FCFS + FCFS,O-47,T4,38.79,42.93,4.140000000000001,T1,44.03,47.34,3.3100000000000023,T3,54.79,58.0,3.210000000000001,T2,66.02,70.98,4.960000000000008,,,,,2,SampleProcessPlan2,3,38.79,86.15,70.98,32.19,15.62
