Simulation ID,Rules,Simulation Time,Total Orders,Workload Norm,Overdue Orders,Unfinished Orders,Throughput Time Mean,Idle Time,Work Time,Revenue,Process Cost,Net Profit
Simulation1,FCFS + FCFS,100,70,10,5,4,21.13310886628067,305.5462513534561,694.4537486465439,13920,6944.5374864654395,6975.4625135345605
Simulation2,FCFS + SPT,100,70,10,10,2,22.440121608578668,288.65312567672805,711.3468743232721,14270,7113.468743232719,7156.531256767281
Simulation3,FCFS + PST,100,70,10,9,5,22.59861247983546,284.1153780611778,715.8846219388222,14150,7158.846219388223,6991.153780611777
Simulation4,CR + FCFS,100,70,10,11,3,25.630787448963098,297.8573801231651,702.1426198768349,14090,7021.4261987683485,7068.5738012316515
Simulation5,CR + SPT,100,70,10,5,2,22.25084787891549,281.38225238444977,718.6177476155503,14420,7186.1774761555025,7233.8225238444975
Simulation6,CR + PST,100,70,10,12,2,25.732075468910327,281.24912670772164,718.7508732922782,14450,7187.508732922783,7262.491267077217
Simulation7,EDD + FCFS,100,70,10,9,3,23.04345886965141,299.03625135345607,700.9637486465439,14020,7009.63748646544,7010.36251353456
Simulation8,EDD + SPT,100,70,10,5,2,21.647163092261906,290.80912670772176,709.1908732922783,14350,7091.908732922782,7258.091267077218
Simulation9,EDD + PST,100,70,10,9,5,22.868316386386045,294.1293770301841,705.8706229698158,14050,7058.706229698159,6991.293770301841
